\\Variant\\VariantInSample\\;ID_163;VariantInSample;;2018-11-21 14:02:02.029465;2018-11-21 14:02:02.029468;2018-11-21 14:02:02.029471;TEST_OSIRIS;None
\\Variant\\VariantInSample\\PositionReadDepth\\;ID_164;PositionReadDepth;;2018-11-21 14:02:02.029515;2018-11-21 14:02:02.029518;2018-11-21 14:02:02.029521;TEST_OSIRIS;None
\\Variant\\VariantInSample\\VariantReadDepth\\;ID_165;VariantReadDepth;;2018-11-21 14:02:02.029572;2018-11-21 14:02:02.029575;2018-11-21 14:02:02.029578;TEST_OSIRIS;None
\\Variant\\VariantInSample\\StrandBias\\;ID_166;StrandBias;;2018-11-21 14:02:02.029628;2018-11-21 14:02:02.029631;2018-11-21 14:02:02.029634;TEST_OSIRIS;None
\\Variant\\VariantInSample\\GenomicSourceClass\\;ID_167;GenomicSourceClass;;2018-11-21 14:02:02.029683;2018-11-21 14:02:02.029686;2018-11-21 14:02:02.029689;TEST_OSIRIS;None
\\Variant\\VariantInSample\\AllelicState\\;ID_168;AllelicState;;2018-11-21 14:02:02.029738;2018-11-21 14:02:02.029741;2018-11-21 14:02:02.029744;TEST_OSIRIS;None
\\Validation\\;ID_169;Validation;;2018-11-21 14:02:02.029842;2018-11-21 14:02:02.029845;2018-11-21 14:02:02.029847;TEST_OSIRIS;None
\\Validation\\Type\\;ID_170;Type;;2018-11-21 14:02:02.029876;2018-11-21 14:02:02.029879;2018-11-21 14:02:02.029882;TEST_OSIRIS;None
\\Validation\\Method\\;ID_171;Method;;2018-11-21 14:02:02.029932;2018-11-21 14:02:02.029935;2018-11-21 14:02:02.029937;TEST_OSIRIS;None
\\Validation\\Status\\;ID_172;Status;;2018-11-21 14:02:02.029987;2018-11-21 14:02:02.029990;2018-11-21 14:02:02.029995;TEST_OSIRIS;None
\\CNV\\;ID_173;CNV;;2018-11-21 14:02:02.030083;2018-11-21 14:02:02.030086;2018-11-21 14:02:02.030089;TEST_OSIRIS;None
\\CNV\\Alteration\\;ID_174;Alteration;;2018-11-21 14:02:02.030118;2018-11-21 14:02:02.030121;2018-11-21 14:02:02.030123;TEST_OSIRIS;None
\\CNV\\Alteration\\Chromosome\\;ID_175;Chromosome;;2018-11-21 14:02:02.030163;2018-11-21 14:02:02.030166;2018-11-21 14:02:02.030169;TEST_OSIRIS;None
\\CNV\\Alteration\\GenomicStart\\;ID_176;GenomicStart;;2018-11-21 14:02:02.030219;2018-11-21 14:02:02.030222;2018-11-21 14:02:02.030224;TEST_OSIRIS;None
\\CNV\\Alteration\\GenomicStop\\;ID_177;GenomicStop;;2018-11-21 14:02:02.030273;2018-11-21 14:02:02.030276;2018-11-21 14:02:02.030279;TEST_OSIRIS;None
\\CNV\\Alteration\\GenomeBuild\\;ID_178;GenomeBuild;;2018-11-21 14:02:02.030351;2018-11-21 14:02:02.030355;2018-11-21 14:02:02.030357;TEST_OSIRIS;None
